,body,lang,translation
173,"La verdad es que todo es muy espectacular pero quizás premian más el show que el sabor de los productos.
Aún así no es una mala opción para impresionar a alguien",es,The truth is that everything is very spectacular but perhaps they reward the show more than the taste of the products.Still not a bad choice to impress someone
174,"Fuimos al restaurante mi pareja y yo en la que creíamos seria una experiencia inolvidable , pero resultó ser "" solo"" un buen restaurante . El aperitivo en la cocina correcto , el menú que escogimos , también correcto , pero sin emocionar . Los postres estaban bien . El trato , de los camareros correcto pero frío . Como se ha explicado en otras opiniones , el señor Jordi Cruz , ni se digna a saludar a sus clientes , aunque casi choque con ellos . Parece como si estos clientes que pagan este servicio le molestaran .Lo que si que encontré inaceptable , es que no sirvan un te como es debido . El agua no tenia la temperatura adecuada estaba fría casi , el té era de BOLSITA !! y esto en un tres estrellas es inaceptable , teniendo en cuenta además lo que te cobran por una bolsita de té.En definitiva , en general ( sin lo del té ) bien , pero no vale lo que cuesta . No repetiremos",es,"We went to the restaurant my partner and I thought it would be an unforgettable experience, but it turned out to be ""just"" a good restaurant. The appetizer in the right kitchen , the menu we chose , also correct , but not thrilled . The desserts were fine. The welcome from the waiters is correct but cold. As has been explained in other opinions , Mr. Jordi Cruz , does not deign to greet his clients , although he almost clashed with them . It seems as if these customers who pay for this service bother you. What I did find unacceptable , is that they do not serve a tea properly . The water was not the right temperature was almost cold, the tea was BAG !! and this in a three-star is unacceptable , considering also what you are charged for a tea bag.In short, in general ( without the tea ) well , but not worth what it costs . We will not repeat"
175,"Hola a todos, os cuento nuestra experiencia por si os sirve de algo.Os pongo en antecedentes, en el mes de agosto habíamos estado en unos restaurantes de Jordi Cruz, concretamente en el Angle de Barcelona, donde el menú, la atención de Mónica (nuestra camarera) y el sommelier de sala, fueron espectaculares. Con estos antecedentes, pensamos que el siguiente paso debía ser ir al Abac, GRAN error. Nada más entrar, nadie nos sugirió si queríamos beber algo mientras el grupo se reunía. Una vez reunidos, nos pasaron a la cocina donde sirven los entrantes y donde vimos al Chef Jordi Cruz, quien no se dignó ni a darnos la bienvenida ni un triste saludo. Los entrantes, para ser justos, fueron lo que más nos gustó, aunque te los comas de pie, apretados y casi a la carrera. Cuando nos sentaron en la mesa, seleccionamos el menú y el maridaje, PÉSIMA ELECCIÓN, el menú sin pena ni gloria, platos desangelados, sin sorpresas y sin ninguna gracia, aunque lo peor fue el maridaje, el sommelier no tenía ni idea de lo que pontenciaba el vino en relación con la comida (consistia en manzanillas, vinos italianos, sidra y poco más UN TIMO)En general, un desorden en la sala muy impropia de un 3 estrellas michelin, donde da la sensación que todos son becarios, a quienes tienes que pedir 3 veces q te sirvan el pan, el vino o que te cambien la copa. Nos dejó una sensación muy mala, más en comparación con el Angle.",es,"Hello everyone, I tell you our experience if it serves you anything.I put you in background, in the month of August we had been in some restaurants of Jordi Cruz, specifically in the Angle of Barcelona, where the menu, the attention of Monica (our waitress) and the sommelier of room, were spectacular. Against this background, we thought the next step should be to go to Abac, BIG mistake. As soon as we entered, no one suggested if we wanted to drink something while the group gathered. Once they had gathered, they passed us to the kitchen where the starters are served and where we saw Chef Jordi Cruz, who did not deign to welcome us or a sad greeting. The starters, to be fair, were what we liked best, even if you eat them standing, tight and almost to the race. When we were seated at the table, we selected the menu and the pairing, LOUSY CHOICE, the menu without pity or glory, unangeled dishes, without surprises and without any grace, although the worst was the pairing, the sommelier had no idea what the wine was saying in relation to the food (it consists of chamomile, Italian wines, cider and little more A TIMO). In general, a mess in the very improper room of a 3 Michelin stars, where it gives the feeling that all are interns, to whom you have to ask 3 times to serve the bread, the wine or that you change in the glass. It left us a very bad feeling, more compared to the Angle."
176,"Fué mi regalo de cumpleaños para mi mujer. A ella le encanta este tipo de cocina. Nada mas llegar, la atención que recibimos, la amabilidad y esquisitez de todo el personal que nos atendió fué impresionante. Iniciamos nuetro menú por las cocinas entre los cocinero que estaban trabajando. Entre ellos Jordi Cruz que se ofreció amablemente ha hacerse una foto con nosotros. Continuamos en el comedor el resto del servicio. Plato tras plato, cada uno una sorpresa para la vista y el paladar. Asi hasta tres horas de espectáculo gastronómico. La guinda la pusieron cuando al enterarse que era el aniversario de mi mujer, y sin pedirlo, le trajeron un pastel y una vela de cumpleaños. Resumiendo: vale la pena vivirlo. 100 % recomendable.",es,"It was my birthday present for my wife. She loves this kind of cooking. As soon as we arrived, the attention we received, the kindness and delicacy of all the staff who attended us was impressive. We started our menu by the kitchens among the cooks who were working. Among them Jordi Cruz who offered kindly has taken a picture with us. We continue in the dining room the rest of the service. Dish after dish, each a surprise for the eye and palate. So up to three hours of gastronomic show. They put the icing on it when they found out it was my wife's anniversary, and without asking, they brought her a cake and a birthday candle. Summing up: it's worth living. 100% recommended."
177,"Sin duda cocina excelente, platos de una imaginación superior y el trato de todo el personal de 10. Sin duda que repetiremos y recomendable pasarse por ese paraiso culinario de la zona alta,tuvimos la oportunidad de saludar al chef.",es,"No doubt excellent cuisine, dishes of a superior imagination and the treatment of all the staff of 10. We will definitely repeat and recommend to go through this culinary paradise of the upper area, we had the opportunity to greet the chef."
178,"Excelentes platos bien presentados y bien cuidados en el menu degustacion que nos recomendó la persona que nos atendió y que contenian los mas clásicos de la cocina del Abac.Buena velada con muy buena atención del personal que nos informaba de cada uno de los platos que nos servian, todos ellos de excelente elaboracion.Entorno elegante y una experiencia estupenda con la única salvedad de no haber podido conocer personalmente a Jordi Cruz que, todo y que se hallaba presente en el local, no saludó a sus clientes como suele ser costumbre en este tipo de restaurantes, según nos dijeron, por encontrarse indispuesto.",es,"Excellent dishes well presented and well maintained in the tasting menu recommended by the person who attended us and containing the most classic of the cuisine of the Abac.Good evening with very good attention of the staff who informed us of each of the dishes that served us, all of them of excellent elaboration.Elegant environment and a great experience with the only exception of not having been able to meet personally Jordi Cruz who, everything and who was present in the place, did not greet his customers as usual in this type of restaurants, we were told, for being indisposed."
179,En pocas palabras: Artes gastronómico en estado puro. Acudimos con família y disfrutamos con cada uno de sus platos y atención recibida.Volveremos sin lugar a dudas.,es,In a nutshell: Gastronomic arts in pure form. We come with family and enjoy with each of their dishes and attention received.We will return without a doubt.
180,"Hemos estado este fin de semana y nos ha gustado, la comida estaba muy buena y trabajada pero el tiempo de espera entre plato y plato es alto, le falta dinamismo para que te enganche todo el tiempo. La gente de sala bastante amable con especial mención el sumiller, muy agradable y profesional. En general la experiencia es buena pero no está a la altura de otros tres estrellas michelin.",es,"We've been this weekend and we liked it, the food was very good and worked but the waiting time between plate and plate is high, it lacks dynamism to get you hooked all the time. The people in the dining room are very friendly, with a special mention for the sommelier, who is very friendly and professional. Overall the experience is good but not up to three other michelin stars."
181,"En la avenida Tibidabo, junto a espectaculares palacetes, nos encontramos con el Hotel de 5 Estrellas “Gran Lujo ABaC”, en el que se ubica el restaurante del mismo nombre, dirigido por el mediático chef Jordi Cruz..Hemos de decir que, pese a nuestras ganas por conocerlo, nos llevamos una decepción y creemos, en nuestra opinión, que no estaba al nivel de un 3 Estrellas Michelín, especialmente cuando lo comparamos con otros que ofrecen una experiencia mucho más completa..Esta comenzó invitándonos a esperar (sin que en nuestro caso nos ofreciesen ninguna bebida) en un jardín poco espectacular. Posteriormente, nos llevaron de forma ajetreada a la cocina, donde prácticamente nos avasallaron con 5 aperitivos y en donde (según nos explicó la sumiller) quieren mostrarte el barullo, cosa que no sentimos ya que la cocina no parecía estar en demasiado movimiento en ese momento, pero a nosotros sí nos metieron prisa. .Posteriormente nos condujeron a uno de los salones, muy pequeño, con mesas cercanas y a las que las daba el sol. Cuentan con otro salón que creemos es algo más adecuado, pero no nos pudieron recolocar..A continuación elegimos entre los dos menús: uno de sus clásicos (por 180€) y otro más largo basado en temporada (por 210€). Elegimos este último, e incluimos la opción de maridaje, lo que resultaría en una cuenta total de 340€ por persona, cifra que hubiésemos pagado satisfechos (a pesar de que obviamente es un precio alto) si hubiésemos disfrutado, como lo hicimos en Enigma, Quique Dacosta, El Celler de Can Roca o Martín Berasategui (por poner algunos ejemplos), pero que tras la insulsa experiencia en ABaC nos dolió, más aún cuando les comentamos que no habíamos quedado satisfechos y su respuesta fue nula..Los platos del menú fueron correctos pero sin que ninguno destacase. Los efectos que usa ya no sorprenden (el helio, la vela que luego se come...) y algunas de las elaboraciones no estaban a la altura: el “Pan relleno de queso Comté” de un gran tamaño no acorde con un menú de este estilo, el “Falso risotto de cebolla” con un sabor a carbonara nada original, el ya manido pichón cuya pieza además estaba demasiado pasada, o la “Gamba roja” cocinada de forma sencilla y sin ningún realce de sabor..Aparte, un servicio al que no veíamos entusiasmado ni implicado en la experiencia y que parecía más bien movido por frases mecánicas..En conjunto, un 3 Estrellas que realmente creemos que se merecería 2, un menú con buena técnica aunque sin sorpresas y un Jordi Cruz ausente. Nada recomendable, por tanto, teniendo además en cuenta la amplísima oferta existente en Barcelona..Si te ha gustado esta recomendación, puedes leer sobre otros restaurantes y ver distintos rankings en nuestra web de LAGASTROLISTA y siguiéndonos a través de Facebook, Twitter o Instagram.",es,"On Avenida Tibidabo, next to spectacular mansions, we find the 5-Star Hotel ""Gran Lujo ABaC"", which houses the restaurant of the same name, run by the media chef Jordi Cruz... We must say that, despite our desire to meet him, we were disappointed and believe, in our opinion, that he was not at the level of a 3 Michelin Star, especially when we compare him with others who offer a much more complete experience... This began by inviting us to wait (without in our case offering us any drinks) in an unspectacular garden. Later, they took us to the kitchen, where they practically overwhelmed us with 5 snacks and where (as explained by the sommelier) they want to show you the noise, which we did not feel as the kitchen did not seem to be in too much movement at that time, but we did hurry. Then they took us to one of the very small lounges, with tables close by and where the sun gave them. There is another room that we think is more suitable, but we could not be relocated..Then we choose between the two menus: one of its classics (for 180€) and a longer one based on the season (for 210€). We chose the latter, and included the option of pairing, which would result in a total bill of 340€ per person, figure that we would have paid satisfied (although obviously it is a high price) if we had enjoyed, as we did in Enigma, Quique Dacosta, El Celler de Can Roca or Martín Berasategui (to give some examples), but after the insular experience in ABaC we hurt, even more when we told them that we had not been satisfied and their response was null.. The menu was correct but without any dishes highlighted. The effects it uses are no longer surprising (helium, the candle that is then eaten...) and some of the elaborations were not up to scratch: the ""Comté cheese-stuffed bread"" of a large size not in keeping with it"
182,"Comida en pareja , menú degustación con maridaje. La calidad de la comida muy buena ( aunque encontramos una espina en uno de los platos de pescado , cosa imperdonable por la calidad del restaurante)A destacar el arroz con espuma de queso pecorino. Y el postre de chocolate servido en una caja ( excelente )El trato excesivamente frío por parte del chico que presentaba los platos ( no así el sumiller que fue más distendido)Por el precio que pagamos antes de repetir probaremos otros sitios Como era de la esperar Jordi Cruz no estaba ( y era domingo al mediodía ), una lástima ",es,"Meals for couples, tasting menu with pairing. The quality of the food is very good (although you will find a thorn in one of the fish dishes, which is unforgivable given the quality of the restaurant). And the chocolate dessert served in a box ( excellent ) The excessively cold treatment by the guy who presented the dishes ( not so the sommelier who was more relaxed) For the price we paid before repeating we will try other places As was expected Jordi Cruz was not ( and it was Sunday at noon ), a pity"
183,"En navidades le regalé a mi marido una reserva en ABaC. A nosotros personalmente nos supone un sacrificio ir a este tipo de sitios, pero cada año solemos ahorrar para ir a uno de estos restaurantes con estrellas michelin, y este año nos decidimos por uno en Barcelona que es donde vivimos.La reserva era para dos meses más tarde. El restaurante al hacer la reserva te pide que introduzcas el número de tarjeta e incluso hace una verificación de la misma con el banco. Como era una sorpresa para mi marido, puse su correo electrónico para confirmar la reserva. Este puede haber sido el origen del problema, pero a nosotros no nos consta haber recibido esta confirmación de la reserva, aunque el restaurante insiste en que si que la envió, así que se nos pasó la fecha.En marzo he recibido un cargo en cuenta de 180 euros. Cuando he hablado con el restaurante, con bastante indiferencia me han dicho que es lo que se acepta al hacer la reserva en la política de reservas (lo cual es cierto), me han enviado un copiar y pegar de la política y Santa Rita.Se que no hay nada que hacer, pero por lo menos que esto sirva de aviso para otros.",es,"At Christmas I gave my husband a reservation at ABaC. We personally make a sacrifice to go to these kinds of places, but every year we save money to go to one of these Michelin-starred restaurants, and this year we decided on one in Barcelona which is where we live.The reservation was for two months later. The restaurant asks you to enter the card number when making the reservation and even makes a check with the bank. As it was a surprise to my husband, I put in his email to confirm the reservation. This may have been the source of the problem, but we are not aware of receiving this confirmation of the reservation, although the restaurant insists that if you sent it, so we missed the date.In March I received a charge in account of 180 euros. When I spoke to the restaurant, with enough indifference I have been told that is what is accepted when making the reservation in the reservation policy (which is true), I have sent a copy and paste of the policy and Santa Rita.I know that there is nothing to do, but at least that this serves as a warning to others."
184,Fuimos hace dos semanas a comer al Abac restaurante lujoso . Servicio Muy bueno y la terraza espectacular los camareros muy amables por bueno y acorde a las espectativas cogimos el menú gran Abac te sorprende en varios platos no en todos . El trato es agradable la terraza espectacular y los platos aunque pequeños son 18 en total . Por poner alguna pega es la espera de hasta más de 15 minutos entre plato y plato . Nosotros comimos el postre fuera . No creo que repita por precio básicamente . ,es,"We went to the Abac luxury restaurant two weeks ago for lunch. Very good service and spectacular terrace very friendly waiters for good and according to the spectacular we take the menu great Abac surprises you in several dishes not in all. The welcome is pleasant, the terrace is spectacular and the dishes are 18 in total. To put some glue is the wait of up to 15 minutes between plate and plate. We ate dessert outside. I don't think it will repeat by price basically."
185,"Si te lo puedes permitir y hacer un esfuerzo económico, es una experiencia única.Lo que más nos gustó es que al ppio te pasan a las cocinas y vas probando entrantes mientras los cocineros trabajan. La comida: genial, súper innovadora y a la vez fiel a la tradición (nosotros pedimos menú tradición). Los platos son súper originales y conseguidos. Eso si, todos los comensales han de pedir el mismo menú. El lugar: aunque nos costó un poco entrar (es un hotel, tienes que llamar, es algo confuso) el lugar está muy bien. No tiene nada de especial pero la verdad está diseñado de manera que aunque compartes sala con otros invitados, el ambiente de privacidad está logrado. El Servicio: la verdad es lo único a lo que le pongo el “pero”. Nuestro camarero Emilio y nuestro somelier muy atentos siempre, pero quizás pequeños detalles hicieron que en este punto no pueda poner el “excelente”. Nada a criticar, simplemente cosas que esperas de un restaurante 3estrellas (pedir varias veces las cosas, un poco de lío entre camareros, caras entre ellos etc)Lo mejor: la diversidad de platos (probamos unos 20) PD: los manteles de las mesas no estaban planchados! ",es,"If you can afford it and make an economic effort, it's a unique experience.What we liked most is that the pio you pass to the kitchens and you go trying starters while the cooks work. The food: great, super innovative and at the same time faithful to tradition (we ask for a traditional menu). The dishes are super original and accomplished. However, all guests must order the same menu. The place: although it was a bit difficult to get in (it's a hotel, you have to call, it's a bit confusing) the place is very nice. There's nothing special about it, but the truth is designed so that although you share a room with other guests, the atmosphere of privacy is achieved. The Service: the truth is the only thing i put the ""but."" Our waiter Emilio and our somelier were always very attentive, but perhaps small details made it impossible at this point to put the ""excellent"". Nothing to criticize, just things you expect from a 3 star restaurant (ask for things several times, a bit of mess between waiters, faces among them etc)The best: the diversity of dishes (we tried about 20) PD: the table cloths were not ironed!"
186,"No se le puede encontrar un pero... simplemente todo perfecto. La comida deliciosa y el servicio es mágico, la elegancia y sincronía con la que te sirven jamás la vi.Siendo nuestra primeea visita elegimos el menú tradición y estaba todo exquisito. Su raya en brioche con wasabi y alioli inolvidable.Gracias al Sr Ruiz y a todo el equipo.",es,"You can't find a dog... just everything perfect. The delicious food and the service is magical, the elegance and synchrony with which you are served I never saw it.Being our first visit we chose the menu tradition and was all exquisite. Its stripe in brioche with wasabi and unforgettable alioli.Thanks to Mr. Ruiz and the whole team."
187,"No voy a explicar cada detalle porque hay que vivirlo pero está a la altura de lo esperado. Fue una gran cena, pedimos el menú largo, y una gran experiencia, incluido el maridaje. El chef nos recibió en la cocina y se hizo las fotos esperadas, agradable. Si además te alojas en el hotel, la experiencia es de matrícula. Esperamos volver.",es,"I'm not going to explain every detail because you have to live it but it lives up to what you expected. It was a great dinner, we ordered the long menu, and a great experience, including pairing. The chef greeted us in the kitchen and made the expected photos, nice. If you also stay at the hotel, the experience is tuition. We hope to return."
188,"Eran altas las expectativas, merecio la pena. La sala algo fria, el Servicio muy profesional pero algo descontrolado. Demasiado rapido, trasmiten falta de tranquilidad. El jefe de mesa muy correcto esforzandose por intentar que comprendieramos bien lo que ibamos a degustar. Vajilla correcta, cuberteria y resto muy correcto aunque no destaca. Alguna presentacion necesita de reinvencion. En cuanto a texturas, sensaciones y sabores, muy sorprendente. No acabas saciado, buena estrategia y en el orden. Postres diferentes imaginativos y muy ricos. Carta de vino muy amplia, eche de menos q tuvieran alguna vino mas en magnum.",es,"Expectations were high, it was worth it. The room is a little cold, the service very professional but a little out of control. Too fast, they convey a lack of tranquility. The very correct head of table striving to make us understand well what we were going to taste. Good crockery, cutlery and the rest is very good but it does not stand out. Some presentation needs reinvention. As for textures, sensations and flavors, very surprising. You don't end up satiated, good strategy and in order. Imaginative and very rich different desserts. Very wide wine list, miss that they had some more wine in magnum."
189,"Nos ha encantado todo en general. El principal detalle fue con el pequeño, al que le dieron algunos entrantes y que devoró de buen gusto el plato de pasta, llegando a dormirse en su carrito dentro de la sala con un ambiente muy agradable.Ver la cocinas, ver trabajando al alcalde y la experiencia gastronómica sublime. El pero, no ver al chef. Una lástima ya que a mi gusto pierde mucho no ver al responsable al pie del cañón.",es,"We loved everything in general. The main detail was with the little one, who was given some starters and who tastefully devoured the pasta dish, going to sleep in his cart inside the room with a very pleasant atmosphere.See the kitchens, see the mayor working and the sublime gastronomic experience. The dog, not seeing the chef. It's a pity that I don't like to see the person responsible at the foot of the canyon."
190,"Los platos estaban buenos, pero el trato al cliente para mi entender, fue decepcionante. No fue para nada lo que puedes esperar de un restaurante de categoría. Al llegar nos hicieron esperar unos 20min en una terraza sentados, sin ofrecer nada qué tomar. Al sentarnos en la mesa, unos 30 min más de espera para ser atendidos. Los camareros nada serios, no se fijaban en si nos faltaba algo... mi marido pidió una cerveza y al no tenerla, le trajeron otra completamente diferente sin preguntar nada. Para tomar pan, tenías que pedirlo por favor... la espera entre platos, larguísima. A medio comer, entró el chef en la sala. Sin saludar a nadie, se sentó en una mesa con amigos suyos y estuvieron comiendo y charlando, siendo los primeros a los que todos los camareros servían (en espera los que estábamos en otras mesas).No me gustó. No repetiríamos ni lo recomendaría.",es,"The dishes were good, but the customer service to my knowledge, was disappointing. It wasn't at all what you might expect from a top-notch restaurant. When we arrived, they made us wait for 20 minutes on a terrace, sitting down, offering nothing to drink. As we sit at the table, about 30 minutes more waiting to be taken care of. The waiters were not serious, they didn't notice if something was missing... my husband asked for a beer and not having it, they brought him another one completely different without asking anything. To have bread, you had to ask for it please... the waiting between plates, very long. Half-eaten, the chef entered the room. Without greeting anyone, he sat at a table with friends of his and they were eating and chatting, being the first ones that all the waiters served (waiting those of us at other tables).I didn't like it. We would not repeat or recommend it."
191,"Cuando acudes a un restaurante de 3 estrellas Michelín, sabes de sobra que vas a tener espectáculo, calidad y vanguardia en los platos, y una gama de sabores que no se pueden obtener en otros restaurantes. Pues bien, aún sabiendo esto, ABac consigue sorprenderte.La entrada al restaurante ya dice mucho de cómo va a ser la comida, un restaurante moderno sin falta de detalle en cada una de sus salas, desde la recepción, hasta el jardín o el mismo comedor.La experiencia empieza en cocina, donde sirven los primeros aperitivos y una copa de cava mientras ves a todo el personal cocinando. Personalmente me hubiera quedado allí toda la comida, pero resultó imposible ;) Este punto de pasar por cocina me encanta, soy bastante aficionado a cocinar y ver como elaboran platos de alta cocina es toda una experiencia. De esta parte del menú me quedo con las Texturas de Alga Nori y Salmón, un bocado simplemente espectacular.Una vez en salón, nada más sentarte se empieza a preparar un plato que me fascinó, la Gilda de Mar. El tener el racimo del alga empapándose con el líquido de la Piparra te hace quedarte pasmado viendo cómo se forma el racimo.A partir de ese punto se elige el menú, ABaC (greatest hits) o Gran ABaC (menú de temporada), nosotros nos decimos por la segunda opción, y quedamos muy contentos. 14 platos más buscando la perfección, entre los que destaco el Calamar Negro con Piparras Ahumadas, las Texturas de Cebolla el Pichón y sobretodo el Esturión curado con coliflor y caviar, uno de los mejores platos que he probado en mi vida y difícilmente superable.El maridaje estuvo muy bien, pedimos botellas sueltas (no la opción de maridaje del menú), probando dos blancos (Orange Republic y Terra Remota) y un tinto Cariñena (Telescópico 14). Todos acertados por el sumiller y con un margen de precio en torno a lo que buscábamos (45-55 €).Los postres constaron de 4 platos, quedándome con el magnífico recuerdo del Globo de Nata y Fresas con infusión de chicle helado. Para acompañar los postres pedimos una botella de cava Nuria Claverol, que estaba buena aunque los he probado mejores por el mismo precio (65 €).Una vez acabados, pasamos al Jardín para tomar el café y los Petit Fours, de los que no destaco ninguno porque estaban todos buenísimos. Para resaltar alguno lo haría con la originalidad del pintalabios ABaC, aunque por sabor era de los más flojos (aunque bueno).Todo terminó con un Gin Tonic GinRaw para dar por finalizada la comida.En resumen, todo espectacular, una experiencia que vale la pena vivir y de la que uno no se arrepiente por mucho que le cueste ahorrar ;)En cuanto a lo económico, me quedo con la sensación de los diferentes restaurantes con estrella Michelín a los que he ido, pagar por este menú 210 euros no me parece caro, visto el trabajo y la mano de obra que hay detrás de él. El precio del vino tampoco (en cualquier restaurante casi triplican el valor de cada botella), pero el precio de agua/cafés me sigue pareciendo demasiado disparado. Para una mesa de 6 pagamos 42 euros por 9 botellas de agua de medio litro, 5 euros por cada café, 6 por un té y 22 por cada Gin Tonic. Puedo entender que estos restaurantes vayan muy justos con el precio por las elaboraciones y el I+D que hay detrás, de hecho ya he comentado que el precio del menú no me parece mal, pero creo que en la parte de la bebida (quitando vinos) deberían ajustarse un poco más a la realidad y no alzar tanto los precios.Así y todo me quedo con la gran experiencia vivida, y si, volvería una y mil veces.   ",es,"When you go to a 3-star Michelin restaurant, you know full well that you will have show, quality and avant-garde dishes, and a range of flavors that you can't get in other restaurants. Well, even knowing this, ABac manages to surprise you.The entrance to the restaurant already says a lot about what the food is going to be like, a modern restaurant with no lack of detail in each of its rooms, from the reception, to the garden or the same dining room.The experience starts in kitchen, where they serve the first snacks and a glass of cava while you see all the staff cooking. Personally I would have stayed there all the food, but it proved impossible ;) This point of going through the kitchen I love, I am quite fond of cooking and seeing how they make haute cuisine is quite an experience. From this part of the menu I stay with the Textures of Alga Nori and Salmon, a simply spectacular bite.Once in the living room, as soon as you sit down you start to prepare a dish that fascinated me, the Gilda de Mar. Having the cluster of algae soaking with the liquid of the Piparra makes you staggered watching how the cluster forms.From that point you choose the menu, ABaC (greatest hits) or Gran ABaC (seasonal menu), we tell ourselves by the second option, and we are very happy. 14 more dishes looking for perfection, among which I highlight the Black Squid with Smoked Pipers, the Onion Textures the Pichon and especially the Sturgeon cured with cauliflower and caviar, one of the best dishes I have tried in my life and hardly surmountable.The pairing was very good, we ordered loose bottles (not the pairing option of the menu), trying two whites (Orange Republic and Terra Remota) and a red Cariñena (Telescopic 14). All were successful by the sommelier and with a margin of price around what we were looking for (45-55 €).The desserts consisted of 4 dishes, remaining with the magnificent memory of the Globe of Cream and Strawberries with infusion of frozen chewing gum. To accompany the"
192,"Seguramente el local, el producto y el servicio lo merecen, pero sale caro. A pesar de todo merece la pena vivir la experiencia. Conocer al chef y ver la cocina en acción, algunos platos realmente exquisitos y algunas sorpresas durante la cena hacen que resulte finalmente inolvidable. ",es,"Surely the local, the product and the service deserve it, but it is expensive. The experience is still worth living through. Meeting the chef and seeing the cuisine in action, some really exquisite dishes and some surprises during dinner make it finally unforgettable."
193,"La calidad de los alimentos, la atencion recibida, la preparacion de los platos ....EXCELENTE.Si una “ queja “ puedo poner es que para nuestro gusto, el tiempo de espera entre plato y plato es excesivo . Hay que manifestar que entramos a las 14:00 horas y nos levantamos de la mesa pasadas las 18:00!!Mencion a parte es la calificacion de la maitre; EXCELENTE.Otro punto negativo es que en un restaurante de esta categoria , no es de recibo que en el mantel hubiera un agujero!!!!!",es,"The quality of the food, the attention received, the preparation of the dishes ....EXCELLENT.If a ""complaint"" I can put is that for our taste, the waiting time between plate and plate is excessive. It must be said that we entered at 14:00 hours and got up from the table after 18:00!!Mention aside is the qualification of the maitre; EXCELLENT.Another negative point is that in a restaurant of this category, it is not welcome that in the tablecloth there was a hole!!!!"
194,"Fuimos para celebrar un cumpleaños. Las expectativas eran máximas. Esperábamos una cena espectacular.Después de haber visto gran variedad culinaria en la ciudad, las expectativas quedarion rebajadas notablemente con la cena vivida en el Ábac. Con los menús degustación suele haber platos que agraden más y otros menos. Si bien es cierto que no hubo ningún plato que dió la nota negtiva, tampoco me quedó ninguno en mente.No repetiría.",es,"We went to celebrate a birthday. Expectations were high. We expected a spectacular dinner.After having seen a great variety of cuisine in the city, the expectations were greatly lowered with the dinner lived in the Abaca. The tasting menus often offer dishes that please more and less. While it is true that there was no plate that gave the negative note, neither was any in my mind.I would not repeat."
195,"Menú de vanguardia mariadado.
3 pax viernes a mediodia.
Espectacular desde que entramos hasta que salimos, no seria capaz de describir lo que nos transmitieron...hay que ir y probar, no defraudara...",es,"Cutting-edge menu.3 pax friday at noon.Spectacular from the moment we walked in until we left, I wouldn't be able to describe what they transmitted to us...you have to go and try, not let down..."
196,"Primera vez que asistimos al espectáculo gastronómico 3 estrellas Michelin y ha sido espectacular. Dejas el coche en el parking y justo allí te esperan y te preguntan acerca de tus intolerancias. Te acompañan hasta elHall del restaurante o la terraza. A partir comienza el viaje sensorial. 5 aperitivos que los saboreas directamente en la cocina. Luego ya pasas al comedor donde más de 10 camareros te van atendiendo aleatoriamente pero sin duda con cada movimiento y explicación estudiada. Infinidad de platos a cual mejor creado y más sorpresivo, todo ello con la posibilidad de maridarlo con 8 bebidas diferentes. Finalizas con 4 espectaculares postres que dan por finalizado el espectáculo gastronómico de Jordi CruzTotal 4 horas y media de vivencia sensorial. ",es,"First time we attended the 3 Michelin star gastronomic show and it has been spectacular. You leave the car in the parking lot and right there they wait for you and ask you about your intolerances. They accompany you to the restaurant hall or the terrace. From there begins the sensory journey. 5 appetizers that you taste directly in the kitchen. Then you pass to the dining room where more than 10 waiters are randomly attending you but without a doubt with every movement and explanation studied. There are plenty of dishes to which the best and most surprising, all with the possibility of pairing it with 8 different drinks. You finish with 4 spectacular desserts that end the gastronomic show of Jordi CruzTotal 4 hours and a half of sensory experience."
197,Increíble cena... increíble servicio... una gran experiencia!!!! Gracias por haberlo hecho así de especial... enhorabuena,es,Incredible dinner... incredible service... a great experience!!!! Thank you for making it so special. Congratulations
198,"Trato amable ambiente confortable , buen servicio ,pero comida pretenciosa y no merecedora de las expectativas creadas.",es,"Friendly and comfortable atmosphere, good service, but pretentious food and not worthy of the expectations created."
199,"Solo aparcar en el parquing del hotel ya nos hicieron sentir a mi mujer y a mi como unos reyes. Atencion de 10...copa de bienvenida.. la habitacion espectacular. Y que decir del restaurante...cada plato, cada vaso...de 10!! Increible en todos los aspectos. No hay ningun pero a una estancia como Abac. Sin duda que es un sitio magico que te invita a querer regresar.. y sin duda que lo haremos!! ",es,"Just parking in the hotel parking lot already made me and my wife feel like kings. Attention 10...welcome drink.. the spectacular room. And what about the restaurant...every plate, every glass...10!! Incredible in every respect. There's none but to a stay like Abac. It is certainly a magical place that invites you to want to return. and certainly we will!!"
